Date/Time,Heating:EnergyTransfer [J](Hourly),Cooling:EnergyTransfer [J](Hourly),DistrictHeating:HVAC [J](Hourly),DistrictCooling:HVAC [J](Hourly) 
 01/06  09:00:00,4913408.178597664,0.0,4913408.178597664,0.0 
 01/06  10:00:00,4891257.296739063,0.0,4891257.296739063,0.0 
 01/06  11:00:00,4387596.943577448,0.0,4387596.943577448,0.0 
 01/06  12:00:00,3429349.615860395,0.0,3429586.5637178739,0.0 
 01/06  13:00:00,3291852.1139674878,0.0,3291852.1139674878,0.0 
 01/06  14:00:00,3434112.8559542179,0.0,3434112.8559542179,0.0 
 01/06  15:00:00,3186572.9357473656,0.0,3186608.7990106998,0.0 
 01/06  16:00:00,3511181.7153450839,0.0,3511235.36849667,0.0 
 01/06  17:00:00,3502482.3414558919,0.0,3502511.2963944289,0.0 
 01/06  18:00:00,3810745.964569072,0.0,3810745.964569072,0.0 
 01/06  19:00:00,4486027.166782682,0.0,4486027.166782682,0.0 
 01/06  20:00:00,4579432.449465036,0.0,4579432.449465036,0.0 
 01/06  21:00:00,5366576.342646579,0.0,5366576.342646579,0.0 
 01/06  22:00:00,5682566.644624688,0.0,5682566.644624688,0.0 
 01/06  23:00:00,5980267.299620731,0.0,5980267.299620731,0.0 
 01/06  24:00:00,6544203.395621304,0.0,6544203.395621304,0.0 
 01/07  01:00:00,6760887.651074382,0.0,6760887.651074382,0.0 
 01/07  02:00:00,7006251.157785313,0.0,7006251.157785313,0.0 
 01/07  03:00:00,7271258.388985114,0.0,7271258.388985114,0.0 
 01/07  04:00:00,7562249.06081194,0.0,7562249.060811939,0.0 
 01/07  05:00:00,7783833.168718168,0.0,7783833.168718167,0.0 
 01/07  06:00:00,7967032.19350744,0.0,7967032.19350744,0.0 
 01/07  07:00:00,7599897.705952972,0.0,7599897.705952972,0.0 
 01/07  08:00:00,7282081.431306275,0.0,7282081.431306276,0.0 
 01/07  09:00:00,7836855.1681825,0.0,7836855.1681825,0.0 
 01/07  10:00:00,7615522.280161824,0.0,7615522.280161824,0.0 
 01/07  11:00:00,7127901.662426844,0.0,7127901.662426844,0.0 
 01/07  12:00:00,5956016.314977682,0.0,5956063.855831212,0.0 
 01/07  13:00:00,5533089.157613148,0.0,5533089.157613148,0.0 
 01/07  14:00:00,5581902.960842387,0.0,5581902.960842387,0.0 
 01/07  15:00:00,5248143.85031705,0.0,5248162.519210516,0.0 
 01/07  16:00:00,5171737.553630078,0.0,5171737.553630078,0.0 
 01/07  17:00:00,5142719.185887811,0.0,5142732.674089026,0.0 
 01/07  18:00:00,5491418.515625479,0.0,5491418.515625479,0.0 
 01/07  19:00:00,6108209.701435056,0.0,6108209.701435055,0.0 
 01/07  20:00:00,6180252.145733715,0.0,6180252.145733715,0.0 
 01/07  21:00:00,6968989.689390987,0.0,6968989.689390988,0.0 
 01/07  22:00:00,7193398.785961923,0.0,7193398.785961923,0.0 
 01/07  23:00:00,7489785.615064192,0.0,7489785.615064192,0.0 
 01/07  24:00:00,8100704.051964467,0.0,8100704.051964467,0.0 
 01/08  01:00:00,8318676.816757711,0.0,8318676.816757711,0.0 
 01/08  02:00:00,8528930.597859817,0.0,8528930.597859817,0.0 
 01/08  03:00:00,8689907.05035442,0.0,8689907.05035442,0.0 
 01/08  04:00:00,8827042.817325077,0.0,8827042.817325077,0.0 
 01/08  05:00:00,8963181.801792818,0.0,8963181.801792818,0.0 
 01/08  06:00:00,9134777.075840109,0.0,9134777.075840105,0.0 
 01/08  07:00:00,8751854.82751041,0.0,8751854.827510409,0.0 
 01/08  08:00:00,8436162.42342513,0.0,8436162.423425135,0.0 
 01/08  09:00:00,9017936.83836273,0.0,9017936.83836273,0.0 
 01/08  10:00:00,8851284.037787918,0.0,8851284.037787918,0.0 
 01/08  11:00:00,8232562.158169076,0.0,8232569.944414708,0.0 
 01/08  12:00:00,7316651.947814701,0.0,7316678.247017298,0.0 
 01/08  13:00:00,7171827.143270602,0.0,7171827.143270602,0.0 
 01/08  14:00:00,7633265.447045023,0.0,7633269.688001325,0.0 
 01/08  15:00:00,7676492.52407834,0.0,7676494.863248842,0.0 
 01/08  16:00:00,7800912.048589662,0.0,7800912.048589662,0.0 
 01/08  17:00:00,7603494.798101462,0.0,7603511.230216555,0.0 
 01/08  18:00:00,7788209.544421173,0.0,7788209.544421173,0.0 
 01/08  19:00:00,8276917.533686039,0.0,8276917.533686038,0.0 
 01/08  20:00:00,8266067.889627743,0.0,8266067.889627742,0.0 
 01/08  21:00:00,8957695.345524572,0.0,8957695.345524572,0.0 
 01/08  22:00:00,9084449.408270548,0.0,9084449.408270548,0.0 
 01/08  23:00:00,9283521.355797876,0.0,9283521.355797876,0.0 
 01/08  24:00:00,9805464.726650104,0.0,9805464.726650104,0.0 
 01/09  01:00:00,9936679.480312597,0.0,9936679.480312597,0.0 
 01/09  02:00:00,10072734.371428177,0.0,10072734.371428177,0.0 
 01/09  03:00:00,10195818.485486567,0.0,10195818.485486567,0.0 
 01/09  04:00:00,10313704.952998169,0.0,10313704.952998169,0.0 
 01/09  05:00:00,10432374.336374902,0.0,10432374.3363749,0.0 
 01/09  06:00:00,10656902.159859699,0.0,10656902.159859699,0.0 
